Cena (USD->EUR kurss uz 2024-10-10);Saite;Kategorija;Marka un modelis;Gads;Valsts;Motorstundas (h);Jauda (zs);Piedziņa/Vilce
448136.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/6igk3qef.html;combine_harvesters;John Deere S770;United States;2023;335.0;;2 WD
420693.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/ek3t4i6s.html;combine_harvesters;John Deere S790;United States;2021;1005.0;;
548758.53;https://www.mascus.com/agriculture/combine-harvesters/john-deere-1100/aohu5f7p.html;combine_harvesters;John Deere X9 1100;United States;2022;536.0;;
297293.75;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/bgbjds9j.html;combine_harvesters;John Deere S780;United States;2021;1209.0;;
466065.12;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8250/5l7hcsaq.html;combine_harvesters;Case IH 8250;United States;2022;337.0;;
13263.88;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9600/ckhpet9q.html;combine_harvesters;John Deere 9600;United States;1990;2350.0;;2 WD
105196.25;https://www.mascus.com/agriculture/combine-harvesters/new-holland-cr-8090/7o8q9fbf.html;combine_harvesters;New Holland CR8090;United States;2013;3123.0;;
664189.0;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/ikfkcg6o.html;combine_harvesters;John Deere S790;United States;2023;581.0;;
457283.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/cjihcneo.html;combine_harvesters;John Deere S780;United States;2023;446.0;;2 WD
296836.38;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/fodg9i3p.html;combine_harvesters;John Deere S770;United States;2022;335.0;;2 WD
42535.88;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9996/3i6risbg.html;combine_harvesters;John Deere 9996;United States;2007;5966.0;350.0;2 WD
448136.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/hjaibqbu.html;combine_harvesters;John Deere S790;United States;2022;718.0;;2 WD
6403.25;https://www.mascus.com/agriculture/combine-harvesters/john-deere-444/4k7oapdl.html;combine_harvesters;John Deere 444;United States;1989;;;
443653.75;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8250/8tds3rcu.html;combine_harvesters;Case IH 8250;United States;2022;;;
411546.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/6p5o6pbo.html;combine_harvesters;John Deere S790;United States;2022;896.0;;
552372.7;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/9s7gfu3n.html;combine_harvesters;John Deere S780;United States;2022;428.0;;
96048.75;https://www.mascus.com/agriculture/combine-harvesters/amadas-ar2200/blaf3u7i.html;combine_harvesters;Amadas AR2200;United States;2019;;;
104524.82;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8120/7qhj8rbm.html;combine_harvesters;Case IH 8120;United States;2010;;;
251556.25;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/6jfjbthn.html;combine_harvesters;John Deere S770;United States;2021;1376.0;;
13675.51;https://www.mascus.com/agriculture/combine-harvesters/case-ih-1680/gqiiaqct.html;combine_harvesters;Case IH 1680;United States;1991;4941.0;;
379621.25;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/6l8s3jdg.html;combine_harvesters;John Deere S770;United States;2023;584.0;;
